Customer_Name,#Purchases,Total_Sales,Average Profit % gained,First_Purchase_Date,Latest_Purchase_Date,Products_Purchased,Location_Count,Avg_delivery_time
Alan Barnes,14,1113.8380000000002,37.82002639464355,2014-11-16,2017-12-05,"['Imation Bio 8GB USB\xa0Flash Drive Imation\xa0Corp' 'Xerox 1977'
 'Zebra Zazzle Fluorescent Highlighters'
 'Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set'
 'Xerox 196' 'GBC Wire Binding Combs' 'Zipper Ring Binder Pockets'
 'Staples in misc. colors'
 'GBC Velobind Prepunched Cover Sets, Regency Series'
 'Tennsco Regal Shelving Units'
 'SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair'
 'Xerox 1893' 'Belkin Standard 104 key USB Keyboard'
 'Flat Face Poster Frame']","['Los Angeles' 'Toledo' 'Bellevue' 'Decatur' 'Lebanon' 'Louisville'
 'Lakewood']",4.357142857142857
Alan Dominguez,12,6106.879999999999,51.12146353201343,2014-11-19,2017-12-01,"[""Global Deluxe High-Back Manager's Chair"" 'Canon Image Class D660 Copier'
 'Advantus Rolling Storage Box'
 'Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)'
 'Tennsco Single-Tier Lockers' 'Colorific Watercolor Pencils'
 'Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry'
 'KeyTronic\xa06101 Series -\xa0Keyboard\xa0- Black' 'Xerox 214'
 'Global Comet Stacking Armless Chair' 'Xerox 1919'
 '1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack']","['Houston' 'Great Falls' 'New York City' 'Philadelphia' 'Yonkers'
 'Fairfield' 'San Francisco']",4.416666666666667
Alan Haines,8,1587.452,-3.265372804780853,2015-03-05,2017-11-05,"['GBC VeloBinder Electric Binding Machine'
 'Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection'
 'Premier Automatic Letter Opener'
 'Avery Recycled Flexi-View Covers for Binding Systems'
 'Situations Contoured Folding Chairs, 4/Set' '36X48 HARDFLOOR CHAIRMAT'
 'DXL Angle-View Binders with Locking Rings by Samsill'
 'Acco Translucent Poly Ring Binders']",['Tamarac' 'Chicago' 'Bethlehem' 'New York City'],2.75
Alan Hwang,13,4805.344,48.52663392228796,2014-11-29,2017-12-24,"['Microsoft Sculpt Comfort Mouse'
 'Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers'
 'Speediset Carbonless Redi-Letter 7"" x 8 1/2""'
 'Wilson SignalBoost 841262 DB PRO Amplifier Kit' 'Staples'
 'Green Canvas Binder for 8-1/2"" x 14"" Sheets' 'Newell 323'
 'Pressboard Data Binders by Wilson Jones'
 'Avery Durable Slant Ring Binders With Label Holder'
 'Digium D40 VoIP phone' 'Panasonic KX TS208W Corded phone'
 'Trav-L-File Heavy-Duty Shuttle II, Black'
 'GBC DocuBind 300 Electric Binding Machine']","['Brentwood' 'Seattle' 'Nashville' 'San Francisco' 'Anaheim'
 'New York City' 'Dallas' 'Louisville' 'Henderson']",4.846153846153846
Alan Schoenberger,13,4260.784000000001,44.34807152039389,2014-10-18,2017-12-08,"['Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp'
 'Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h'
 'Avaya IP Phone 1140E VoIP phone'
 ""Global Wood Trimmed Manager's Task Chair, Khaki""
 'Avery Non-Stick Binders'
 'Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue'
 'Green Bar Computer Printout Paper'
 'Global Adaptabilites Bookcase, Cherry/Storm Gray Finish'
 'GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""'
 'Mini 13-1/2 Capacity Data Binder Rack, Pearl' 'Avery 514'
 'Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors'
 'WD My Passport Ultra 1TB Portable External Hard Drive']",['New York City' 'Montgomery' 'Provo' 'San Francisco' 'Longmont'],3.769230769230769
Alan Shonely,13,584.6080000000001,16.29045453783868,2014-03-15,2017-06-21,"['Hot File 7-Pocket, Floor Stand'
 'Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany'
 'Insertable Tab Post Binder Dividers'
 'GBC VeloBinder Manual Binding System' 'Xerox 1889'
 'Stacking Tray, Side-Loading, Legal, Smoke'
 'Deluxe Heavy-Duty Vinyl Round Ring Binder'
 'Fellowes Mighty 8 Compact Surge Protector' 'Newell 333'
 '#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes'
 'Belkin 7-Outlet SurgeMaster Home Series'
 'Eldon Jumbo ProFile Portable File Boxes Graphite/Black'
 'Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream']","['Tampa' 'Cleveland' 'Los Angeles' 'Springfield' 'Redondo Beach'
 'Philadelphia']",3.923076923076923
Alejandro Ballentine,14,914.532,52.93696303642785,2014-07-22,2017-07-17,"['Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple'
 'Advantus Rolling Storage Box'
 'Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive'
 'Acme Elite Stainless Steel Scissors' 'Xerox 215' 'Xerox 1885'
 'Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book'
 'Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack'
 'C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings'
 'DXL Angle-View Binders with Locking Rings by Samsill'
 'Brother DCP1000 Digital 3 in 1 Multifunction Machine'
 'Advantus SlideClip Paper Clips' 'Xerox 1912' 'Crayola Colored Pencils']","['Lorain' 'Plano' 'Carlsbad' 'Philadelphia' 'Jackson' 'Los Angeles'
 'Seattle' 'New York City']",4.357142857142857
Alejandro Grove,14,2582.8979999999997,44.70630894477309,2014-05-13,2017-03-27,"['Fellowes Super Stor/Drawer'
 'Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry'
 'Rogers Jumbo File, Granite' 'Avery 49'
 'BlueLounge Milo Smartphone Stand, White/Metallic' 'Elite 5"" Scissors'
 'Things To Do Today Pad' 'Harmony Air Purifier'
 'Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages'
 'Fellowes Mobile File Cart, Black'
 ""Electrix Architect's Clamp-On Swing Arm Lamp, Black""
 'Mediabridge Sport Armband iPhone 5s'
 'Case Logic 2.4GHz Wireless Keyboard'
 ""GBC Standard Plastic Binding Systems' Combs""]",['West Jordan' 'Philadelphia' 'Omaha' 'New York City' 'Lawrence'],4.071428571428571
Alejandro Savely,8,3214.236,20.86925506296386,2016-05-21,2017-12-11,"['Southworth Structures Collection'
 'Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""'
 'Tenex ""The Solids"" Textured Chair Mats'
 'Anker Astro Mini 3000mAh Ultra-Compact Portable Charger'
 'Enermax Briskie RF Wireless Keyboard and Mouse Combo'
 'Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue'
 'Southworth 100% Cotton The Best Paper' 'Balt Solid Wood Round Tables']","['San Francisco' 'Seattle' 'Philadelphia' 'Palatine' 'Dallas'
 'Noblesville']",3.5
Aleksandra Gannaway,5,367.54800000000006,33.154836031548356,2014-04-26,2017-09-03,"['Bevis Steel Folding Chairs'
 'Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red'
 'Premium Writing Pencils, Soft, #2 by Central Association for the Blind'
 ""O'Sullivan 5-Shelf Heavy-Duty Bookcases""
 'Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags']",['Los Angeles' 'San Francisco' 'Franklin' 'Las Vegas'],5.6
Alex Avila,11,5563.56,44.527460525906186,2014-03-31,2017-06-29,"[""Belkin 325VA UPS Surge Protector, 6'""
 'Avery Binding System Hidden Tab Executive Style Index Sets'
 'Tenex Personal Project File with Scoop Front Design, Black'
 'GBC DocuBind 200 Manual Binding Machine'
 'Fellowes Advanced Computer Series Surge Protectors'
 'High Speed Automatic Electric Letter Opener'
 'Acco Banker\'s Clasps, 5 3/4""-Long' 'Polycom VVX 310 VoIP phone'
 'Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack'
 'Easy-staple paper' 'Master Caster Door Stop, Large Neon Orange']",['Minneapolis' 'San Francisco' 'Round Rock' 'New York City'],4.818181818181818
Alex Grayson,9,660.972,30.131563014317116,2016-08-03,2017-12-22,"['Jackery Bar Premium Fast-charging Portable Charger' 'Xerox 225'
 'Tyvek  Top-Opening Peel & Seel Envelopes, Plain White'
 'Sony Micro Vault Click 4 GB USB 2.0 Flash Drive' 'Xerox 1931'
 'Cardinal HOLDit! Binder Insert Strips,Extra Strips' 'Xerox 1887'
 'Lesro Round Back Collection Coffee Table, End Table' 'Newell 310']",['Stockton' 'Tulsa' 'Houston' 'Mesa' 'Charlotte'],2.7777777777777777
Alex Russell,5,1055.694,3.9152977306729837,2014-12-30,2017-09-10,"['Eberhard Faber 3 1/2"" Golf Pencils' 'Memorex Froggy Flash Drive 8 GB'
 'ClearSounds CSC500 Amplified Spirit Phone Corded phone'
 'Hon 5100 Series Wood Tables'
 'Global Commerce Series Low-Back Swivel/Tilt Chairs']",['Lawrence' 'Houston' 'Philadelphia' 'Austin'],3.8
Alice McCarthy,12,814.0120000000001,55.25419002747433,2014-10-06,2017-12-02,"['Personal Filing Tote with Lid, Black/Gray'
 'Southworth 25% Cotton Antique Laid Paper & Envelopes'
 '3-ring staple pack' 'Satellite Sectional Post Binders'
 'Wirebound Message Book, 4 per Page'
 'Fellowes Advanced Computer Series Surge Protectors'
 'Prang Dustless Chalk Sticks' 'GBC VeloBinder Strips'
 'TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page'
 'Logitech G600 MMO Gaming Mouse'
 'HP Office Recycled Paper (20Lb. and 87 Bright)'
 'Bush Westfield Collection Bookcases, Medium Cherry Finish']",['Grand Prairie' 'Los Angeles' 'Omaha' 'Cleveland'],2.5833333333333335
Allen Armold,15,1056.39,52.34941509858097,2014-04-21,2017-12-11,"['Sterilite Officeware Hinged File Box' 'Coloredge Poster Frame'
 'Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver '
 'ACCOHIDE Binder by Acco' 'Newell 321' 'Logitech diNovo Edge Keyboard'
 'Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)'
 'ACCOHIDE 3-Ring Binder, Blue, 1""'
 'Avery Premier Heavy-Duty Binder with Round Locking Rings'
 'Portfile Personal File Boxes' 'Clear Mylar Reinforcing Strips'
 'Xerox 1895'
 'Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black'
 'Avoid Verbal Orders Carbonless Minifold Book' 'Xerox 191']","['Mesa' 'Omaha' 'Los Angeles' 'Salem' 'Atlanta' 'Rancho Cucamonga'
 'Lebanon' 'New York City' 'Providence']",3.2666666666666666
Allen Goldenen,8,200.94500000000002,39.88836332469109,2014-04-19,2017-09-07,"['Southworth 25% Cotton Granite Paper & Envelopes' 'Acco 3-Hole Punch'
 'Avery Recycled Flexi-View Covers for Binding Systems' 'Newell 343'
 'Avery 514' 'C-Line Magnetic Cubicle Keepers, Clear Polypropylene'
 'GBC Durable Plastic Covers' 'Xerox 232']",['Cincinnati' 'Knoxville' 'New York City' 'Los Angeles' 'Arlington'],2.875
Allen Rosenblatt,7,2236.1279999999997,38.46328135838784,2014-10-03,2017-08-27,"['Office Impressions End Table, 20-1/2""H x 24""W x 20""D' 'Xerox 1943'
 'Sony 16GB Class 10 Micro SDHC R40 Memory Card'
 'Bevis Round Conference Room Tables and Bases'
 'Global Deluxe Stacking Chair, Gray' 'Microsoft Sculpt Comfort Mouse'
 'Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""']",['Franklin' 'New York City' 'Los Angeles' 'Hattiesburg' 'Trenton'],4.142857142857143
Alyssa Crouse,5,925.8000000000002,8.5056591742388,2014-07-12,2017-05-12,"['Tuff Stuff Recycled Round Ring Binders' 'Hon 5100 Series Wood Tables'
 'Fellowes Bankers Box Stor/Drawer Steel Plus'
 'Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets'
 'Recycled Interoffice Envelopes with String and Button Closure, 10 x 13']",['San Francisco' 'Houston' 'Philadelphia'],4.0
Alyssa Tate,9,1171.814,20.583147434049806,2014-11-24,2017-12-09,"['Staple-on labels'
 'iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4'
 'DAX Value U-Channel Document Frames, Easel Back' 'Newell 314'
 'Bevis 36 x 72 Conference Tables' 'Harmony Air Purifier' 'Newell 318'
 'GBC Plasticlear Binding Covers' 'Acco Expandable Hanging Binders']",['Los Angeles' 'Meriden' 'Tamarac' 'Akron'],4.444444444444445
Amy Cox,9,5527.846,31.681288656361435,2014-10-31,2017-12-19,"['GBC DocuBind TL300 Electric Binding System' 'Storex Dura Pro Binders'
 'Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)'
 'Martin Yale Chadless Opener Electric Letter Opener'
 'Ibico Hi-Tech Manual Binding System'
 'Acco Suede Grain Vinyl Round Ring Binder'
 'Avery Address/Shipping Labels for Typewriters, 4"" x 2""'
 'Plantronics HL10 Handset Lifter' 'Belkin Standard 104 key USB Keyboard']","['Minneapolis' 'New York City' 'Lafayette' 'Seattle' 'Pembroke Pines'
 'Avondale' 'Tampa']",3.4444444444444446
Amy Hunt,8,2495.3916,22.388303059893566,2015-01-03,2017-05-14,"['Google Nexus 5' 'X-Rack File for Hanging Folders'
 'Enermax Acrylux Wireless Keyboard' 'Newell 317'
 ""O'Sullivan Living Dimensions 5-Shelf Bookcases""
 'Hon 61000 Series Interactive Training Tables'
 'Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L'
 'Avery 499']",['New York City' 'Dallas' 'San Francisco' 'Bartlett' 'Decatur'],4.375
Andrew Allen,12,1790.5120000000002,55.58024233495129,2014-05-04,2017-04-15,"['Xerox 1967' 'DAX Wood Document Frame' 'Strathmore Photo Frame Cards'
 'Carina 42""Hx23 3/4""W Media Storage Unit'
 'Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4' 'Xerox 1993'
 'Tennsco 6- and 18-Compartment Lockers' 'Xerox 1950'
 'ClearSounds CSC500 Amplified Spirit Phone Corded phone'
 'Hon 4060 Series Tables'
 'NETGEAR AC1750 Dual Band Gigabit\xa0Smart WiFi Router' 'Newell 335']",['Concord' 'Middletown' 'Springfield' 'Detroit'],5.416666666666667
Andrew Gjertsen,21,2356.855,30.557954970614126,2015-01-04,2017-10-13,"['Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad'
 'Adams Write n\' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages'
 'Eldon Simplefile Box Office' 'Avery 489' 'Avery Non-Stick Binders'
 'Panasonic KX-TG6844B Expandable Digital Cordless Telephone'
 'Plantronics MX500i Earset' 'Xerox 1999' 'KI Conference Tables' 'Xerox 2'
 'DAX Wood Document Frame' 'Fellowes Twister Kit, Gray/Clear, 3/pkg'
 'Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers'
 'Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter'
 'Xerox 1951' 'Fellowes Super Stor/Drawer Files'
 'Advantus Employee of the Month Certificate Frame, 11 x 13-1/2'
 'Newell 344'
 'Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set'
 'Xerox 1963' 'Premier Elliptical Ring Binder, Black']","['Philadelphia' 'Seattle' 'Peoria' 'Houston' 'Alexandria' 'Los Angeles'
 'Detroit' 'Saint Petersburg']",3.9047619047619047
Andrew Roberts,7,264.86400000000003,24.57777505023002,2014-05-02,2017-12-16,"['Angle-D Ring Binders' 'Newell 317' 'Motorola L804' 'Xerox 226'
 'Peel & Stick Add-On Corner Pockets'
 'Belkin F8E887 USB Wired Ergonomic Keyboard'
 'Belkin 6 Outlet Metallic Surge Strip']",['Philadelphia' 'Los Angeles' 'Tulsa' 'New York City' 'Columbus'],3.7142857142857144
Andy Gerbode,9,1455.038,30.515942510080873,2014-08-09,2015-09-07,"['AT&T 1070 Corded Phone' 'Xerox 21'
 'Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop'
 'Mobile Personal File Cube'
 'KeyTronic\xa0E03601U1 -\xa0Keyboard\xa0- Beige'
 'Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red'
 'Bretford CR8500 Series Meeting Room Furniture'
 'Assorted Color Push Pins' 'SlimView Poly Binder, 3/8""']",['Saint Petersburg' 'Houston' 'New York City' 'Richmond'],5.555555555555555
Andy Reiter,9,6608.448000000001,64.88679588308351,2014-11-25,2017-12-24,"['Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""'
 'Xerox 1970' 'DAX Black Cherry Wood-Tone Poster Frame'
 'Avery Self-Adhesive Photo Pockets for Polaroid Photos'
 'GBC DocuBind P400 Electric Binding System'
 'Office Star Flex Back Scooter Chair with Aluminum Finish Frame'
 'TOPS Money Receipt Book, Consecutively Numbered in Red,'
 'Canon PC-428 Personal Copier' 'Easy-staple paper']","['New York City' 'Quincy' 'Woonsocket' 'San Francisco' 'Jackson'
 'Los Angeles']",3.0
Andy Yotov,10,497.01400000000007,43.30376645501312,2014-04-06,2017-12-16,"['Global Deluxe Stacking Chair, Gray' 'Global Value Steno Chair, Gray'
 'Prestige Round Ring Binders'
 'DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7'
 'Tenex B1-RE Series Chair Mats for Low Pile Carpets'
 'C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings'
 'Xerox 211' 'Xerox 194' 'Eldon Spacemaker Box, Quick-Snap Lid, Clear'
 ""I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink""]",['Oceanside' 'Los Angeles' 'Philadelphia' 'San Francisco'],5.0
Anemone Ratner,2,88.15,65.76819407008085,2016-07-14,2016-07-14,"['Cardinal Holdit Data Disk Pockets'
 'Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock']",['Columbus'],5.0
Angele Hood,5,738.504,26.846049630429935,2014-10-26,2017-12-09,"['Xerox 1921' 'Tenex Chairmats For Use With Carpeted Floors'
 'Vtech CS6719' 'Global Comet Stacking Armless Chair'
 'SANFORD Major Accent Highlighters']",['Chicago' 'Seattle' 'Miami'],3.6
Ann Blume,8,1515.862,-7.775457093181832,2014-11-18,2017-11-10,"['Cardinal EasyOpen D-Ring Binders'
 'DYMO CardScan Personal V9 Business Card Scanner'
 'Case Logic 2.4GHz Wireless Keyboard' 'Adtran 1202752G1'
 'Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs'
 'GBC White Gloss Covers, Plain Front'
 'Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set'
 'Dana Swing-Arm Lamps']",['Tucson' 'Chicago' 'Los Angeles' 'Jacksonville'],2.375
